iter	Passed	Remaining
187	299	1294
188	300	1290
189	301	1285
190	302	1279
191	302	1274
192	303	1269
193	304	1265
194	305	1260
195	306	1256
196	306	1251
197	307	1246
198	308	1243
199	309	1239
200	310	1234
201	311	1230
202	312	1226
203	313	1222
204	313	1216
205	314	1213
206	315	1208
207	316	1204
208	317	1200
209	318	1196
210	318	1192
211	319	1188
212	320	1184
213	321	1180
214	322	1177
215	323	1173
216	324	1169
217	325	1166
218	326	1162
219	326	1159
220	327	1155
221	328	1151
222	329	1147
223	330	1143
224	330	1139
225	331	1135
226	332	1131
227	333	1127
228	333	1124
229	334	1120
230	335	1117
231	336	1113
232	337	1110
233	338	1107
234	338	1103
235	339	1099
236	340	1095
237	341	1091
238	341	1088
239	342	1085
240	343	1081
241	344	1078
242	345	1075
243	345	1071
244	346	1068
245	347	1065
246	348	1061
247	349	1058
248	349	1054
249	350	1051
250	351	1050
251	352	1047
252	353	1044
253	354	1040
254	355	1037
255	355	1034
256	356	1032
257	357	1028
258	358	1025
259	359	1022
260	360	1019
261	360	1016
262	361	1013
263	362	1010
264	363	1007
265	364	1005
266	365	1002
267	365	999
268	366	996
269	367	993
270	368	990
271	369	987
272	369	985
273	370	982
274	371	979
275	372	976
276	373	973
277	374	971
278	375	969
279	376	967
280	376	964
281	377	961
282	378	959
283	379	956
284	380	953
285	380	950
286	381	947
287	382	945
288	383	942
289	383	940
290	384	937
291	385	935
292	386	932
293	387	929
294	387	926
295	388	924
296	389	921
297	390	918
298	390	916
299	391	913
300	392	911
301	393	908
302	393	906
303	394	903
304	395	900
305	396	898
306	396	895
307	397	893
308	398	890
309	399	888
310	399	885
311	400	883
312	401	880
313	402	878
314	402	876
315	403	873
316	404	871
317	405	869
318	405	866
319	406	864
320	407	862
321	408	859
322	409	857
323	409	855
324	410	852
325	411	850
326	412	848
327	413	846
328	413	844
329	414	842
330	415	839
331	416	837
332	417	835
333	417	833
334	418	830
335	419	828
336	420	826
337	420	824
338	421	822
339	422	819
340	423	817
341	423	815
342	424	813
343	425	811
344	426	809
345	427	807
346	427	804
347	428	802
348	429	800
349	429	798
350	430	796
351	431	794
352	432	792
353	432	790
354	433	788
355	434	785
356	435	783
357	435	781
358	436	779
359	437	777
360	438	775
361	439	773
362	439	771
363	440	769
364	441	767
365	442	765
366	442	763
367	443	761
368	444	759
369	445	757
370	445	755
371	446	753
372	447	751
373	447	749
374	448	747
375	449	745
376	450	743
377	450	741
378	451	740
379	452	738
380	453	736
381	453	734
382	454	732
383	455	730
384	456	728
385	456	726
386	457	724
387	458	722
388	458	720
389	459	718
390	460	716
391	460	714
392	461	713
393	462	711
394	463	709
395	464	707
396	464	706
397	465	704
398	466	702
399	467	700
400	467	699
401	468	697
402	469	695
403	470	693
404	470	691
405	471	690
406	472	688
407	473	686
408	474	684
409	474	683
410	475	681
411	476	679
412	477	678
413	478	676
414	478	674
415	479	673
416	480	671
417	481	669
418	481	668
419	482	666
420	483	664
421	484	663
422	484	661
423	485	659
424	486	658
425	487	656
426	487	654
427	488	653
428	489	651
429	490	649
430	490	648
431	491	646
432	492	645
433	493	643
434	494	641
435	494	640
436	495	638
437	496	636
438	497	635
439	497	633
440	498	632
441	499	630
442	500	628
443	500	626
444	501	625
445	502	623
446	503	622
447	503	620
448	504	619
449	505	617
450	506	616
451	506	614
452	507	613
453	508	611
454	509	609
455	510	608
456	510	606
457	511	605
458	512	603
459	512	602
460	513	600
461	514	599
462	515	597
463	516	596
464	516	594
465	517	593
466	518	591
467	519	590
468	519	588
469	520	587
470	521	585
471	521	583
472	522	582
473	523	580
474	524	579
475	524	577
476	525	576
477	526	574
478	527	573
479	527	571
480	528	570
481	529	568
482	530	567
483	530	565
484	531	564
485	532	562
